symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
ORLY,2026-09-25,86.115,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,False,False,False,True,False,True,21.21,-24.42,89.34,3.74,-3.61,0.64,88.4453,88.4453,90.0942,91.1679,-20.12,False,,,,False,False,80.0869
PANW,2026-09-25,374.74,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,87.88,57.49,396.3,5.75,-5.44,0.77,356.5228,356.5228,267.1463,245.2331,-5.37,False,,,,False,False,348.5082
PAYX,2026-09-25,101.37,후보 아님 (트렌드 템플릿 3/8),3,False,False,False,True,True,False,False,True,False,True,31.31,-21.08,127.98,26.25,-20.79,1.3,118.371,118.371,103.291,104.1794,-21.17,False,,,,False,False,94.2741
PCAR,2026-09-25,111.31,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,True,False,False,True,False,True,37.37,-17.81,129.23,16.1,-13.87,1.09,126.3908,126.3908,121.3297,120.7848,-19.46,False,,,,False,False,103.5183
PDD,2026-09-25,77.57,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,6.06,-35.26,86.48,11.49,-10.3,0.6,84.4934,84.4934,90.8777,95.4088,-43.84,False,,,,False,False,72.1401
PEP,2026-09-25,128.63,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,False,False,False,True,False,True,18.18,-27.46,141.71,10.17,-9.23,0.84,137.8424,137.8424,146.6963,147.8078,-24.55,False,,,,False,False,119.6259
PLTR,2026-09-25,189.67,후보 아님 (트렌드 템플릿 7/8),7,False,True,False,True,True,True,True,True,True,True,80.81,16.65,194.68,2.64,-2.57,0.49,163.9268,163.9268,147.2914,152.0236,-8.45,False,,,,False,False,176.3931
PYPL,2026-09-25,55.04,후보 아님 (트렌드 템플릿 3/8),3,False,True,False,False,True,False,True,False,False,True,49.49,-8.09,62.31,13.21,-11.67,1.49,56.7909,56.7909,49.4024,50.4522,-27.7,False,,,,False,False,51.1872
QCOM,2026-09-25,201.97,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,False,True,True,True,False,True,64.65,3.08,199.61,-1.17,1.18,1.39,170.2416,170.2416,171.6228,169.1311,-19.54,False,,,,False,False,187.8321
REGN,2026-09-25,788.04,후보 아님 (트렌드 템플릿 6/8),6,False,True,False,True,True,True,True,True,False,True,62.63,1.12,859.34,9.05,-8.3,0.72,776.7858,776.7858,725.7683,735.6861,-7.51,False,,,,False,False,732.8772
RKLB,2026-09-25,73.95,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,True,True,False,False,True,44.44,-9.95,75.46,2.04,-2.0,0.98,69.4858,69.4858,82.9535,81.0911,-50.78,False,,,,False,False,68.7735
ROP,2026-09-25,358.56,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,True,False,False,False,False,True,23.23,-23.95,429.6,19.81,-16.54,0.62,390.8348,390.8348,360.8057,371.3966,-31.05,False,,,,False,False,333.4608
ROST,2026-09-25,236.12,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,False,True,True,True,True,70.71,7.17,237.0,0.37,-0.37,0.72,237.9296,237.9296,226.0535,216.5751,-7.49,False,,,,False,False,219.5916
SBUX,2026-09-25,94.86,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,True,False,False,True,False,True,41.41,-14.7,108.74,14.63,-12.76,1.03,103.254,103.254,100.9827,98.4894,-12.61,False,,,,False,False,88.2198
SHOP,2026-09-25,142.25,후보 아님 (트렌드 템플릿 5/8),5,False,True,False,False,True,True,True,True,False,True,50.51,-7.67,156.49,10.01,-9.1,0.56,137.954,137.954,124.1967,129.9291,-20.54,False,,,,False,False,132.2925
SNDK,2026-09-25,1777.8,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,100.0,477.41,1909.48,7.41,-6.9,0.52,1516.7589,1516.7589,1339.0344,1107.9116,-23.86,False,,,,False,False,1653.354
SNPS,2026-09-25,425.76,후보 아님 (트렌드 템플릿 2/8),2,False,False,False,False,False,True,False,True,False,True,27.27,-22.14,464.98,9.21,-8.43,1.13,400.7046,400.7046,435.8801,445.2919,-20.35,False,,,,False,False,395.9568
SPCX,2026-09-25,148.68,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,False,True,False,False,False,True,,,158.13,6.36,-5.98,0.56,135.9232,135.9232,,,,False,,,,False,False,138.2724
STX,2026-09-25,916.83,2순위 · 근접 (피벗 3% 이내),8,True,True,True,True,True,True,True,True,True,True,94.95,119.06,936.94,2.19,-2.15,0.6,849.7468,849.7468,731.9431,635.2616,-16.2,False,,,,False,False,852.6519
TER,2026-09-25,398.38,1순위 · 임박 (피벗 1% 이내),8,True,True,True,True,True,True,True,True,True,True,84.85,46.32,399.4,0.26,-0.26,0.53,368.9966,368.9966,360.1494,329.6908,-17.66,False,,,,False,False,370.4934
TMUS,2026-09-25,165.43,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,7.07,-34.43,189.87,14.77,-12.87,0.78,178.8214,178.8214,189.9954,192.0672,-30.89,False,,,,False,False,153.8499
TRI,2026-09-25,98.99,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,True,False,False,False,False,True,33.33,-20.36,112.77,13.92,-12.22,0.62,100.875,100.875,93.5917,99.366,-39.44,False,,,,False,False,92.0607
TSLA,2026-09-25,372.11,후보 아님 (트렌드 템플릿 2/8),2,False,False,False,False,False,True,False,True,False,True,20.2,-25.57,386.7,3.92,-3.77,1.16,348.2486,348.2486,380.5158,395.622,-24.04,False,,,,False,False,346.0623
TTWO,2026-09-25,201.44,후보 아님 (트렌드 템플릿 2/8),2,False,False,False,False,True,False,False,True,False,True,12.12,-29.77,240.54,19.41,-16.26,0.84,229.3356,229.3356,222.7353,225.5902,-23.2,False,,,,False,False,187.3392
TXN,2026-09-25,278.07,돌파 · 거래량 부족,8,True,True,True,True,True,True,True,True,True,True,78.79,12.38,273.33,-1.7,1.73,0.58,271.007,271.007,262.7144,246.2322,-16.31,False,,,,False,False,258.6051
VRTX,2026-09-25,526.19,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,True,True,True,False,True,61.62,-0.02,560.25,6.47,-6.08,0.63,514.3066,514.3066,475.1887,471.8514,-5.69,False,,,,False,False,489.3567
WBD,2026-09-25,30.86,후보 아님 (트렌드 템플릿 6/8),6,False,True,False,True,True,True,True,True,False,True,66.67,4.37,30.92,0.19,-0.19,0.74,27.7394,27.7394,27.3925,27.6401,0.0,False,,,,False,False,28.6998
WDAY,2026-09-25,189.45,후보 아님 (트렌드 템플릿 5/8),5,False,True,False,False,True,True,True,True,False,True,69.7,6.99,211.83,11.81,-10.57,0.26,180.9338,180.9338,147.2663,158.0822,-23.51,False,,,,False,False,176.1885
WDC,2026-09-25,456.81,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,True,False,True,False,True,True,92.93,82.22,495.49,8.47,-7.81,0.79,473.9376,473.9376,449.3274,393.2642,-38.78,False,,,,False,False,424.8333
WMT,2026-09-25,107.98,후보 아님 (트렌드 템플릿 2/8),2,False,False,False,True,False,False,False,True,False,True,30.3,-21.4,111.23,3.01,-2.92,0.76,109.3836,109.3836,118.4087,118.5675,-19.54,False,,,,False,False,100.4214
XEL,2026-09-25,69.8,후보 아님 (트렌드 템플릿 2/8),2,False,False,True,False,False,False,False,True,False,True,17.17,-28.26,77.5,11.03,-9.94,1.42,76.6986,76.6986,79.0133,78.1865,-16.82,False,,,,False,False,64.914
